task,sub,condition,a,v,t,st,alpha
flanker,2168,congruent,2.956484,3.461528,0.36793303,0.18096173,1.5308989
flanker,2169,congruent,2.525178,4.049302,0.31552663,0.14242682,1.3024265
flanker,2170,congruent,2.7610657,4.0258503,0.23560835,0.13146526,1.5520338
flanker,2171,congruent,2.6064713,2.4662495,0.30823782,0.16240856,1.4708103
flanker,2172,congruent,2.825562,4.134164,0.3378579,0.16895112,1.49264
flanker,2173,congruent,3.0901818,4.344557,0.254771,0.115533866,1.3713588
flanker,2174,congruent,3.124672,4.9024634,0.5220294,0.17236553,1.4862437
flanker,2175,congruent,3.4704206,4.1583014,0.33623764,0.14363769,1.385366
flanker,2176,congruent,3.1470761,3.496176,0.372689,0.15457442,1.390911
flanker,2178,congruent,3.3762648,4.382744,0.37744725,0.14010015,1.2992675
flanker,2179,congruent,2.6687071,3.968217,0.27822316,0.16001342,1.4868164
flanker,2180,congruent,2.6891258,3.5215898,0.24603434,0.13910651,1.4907354
flanker,2181,congruent,2.8397365,3.5923145,0.31028697,0.1539015,1.406865
flanker,2182,congruent,2.7997017,4.313231,0.29669875,0.14281186,1.4504383
flanker,2183,congruent,2.9264197,4.025259,0.26650313,0.13064195,1.5009233
flanker,2184,congruent,2.9211771,3.2077034,0.2828822,0.14376813,1.4412804
flanker,2185,congruent,2.416269,3.6700118,0.24629009,0.12629497,1.4240997
flanker,2186,congruent,3.2746022,4.603817,0.44104892,0.14646824,1.4802835
flanker,2187,congruent,2.8296385,4.629905,0.28573346,0.115659155,1.4714782
flanker,2188,congruent,2.6142318,4.195875,0.25557876,0.12983587,1.4142094
flanker,2189,congruent,2.5108116,3.806683,0.28079662,0.1387583,1.3228194
flanker,2190,congruent,3.1272106,4.218217,0.38788944,0.13546744,1.4665159
flanker,2191,congruent,2.757098,3.180266,0.3436556,0.21748185,1.456985
flanker,2192,congruent,3.1790342,3.438261,0.3135079,0.16432543,1.5244873
flanker,2193,congruent,2.5204847,3.3370423,0.27980348,0.13756433,1.4333142
flanker,2194,congruent,2.5994148,4.6104593,0.2925794,0.1356401,1.4151498
flanker,2195,congruent,2.933007,4.1510262,0.25532317,0.1361348,1.510227
flanker,2196,congruent,3.721632,3.0393536,0.54754245,0.30473202,1.5173069
flanker,2197,congruent,2.3257606,3.5668714,0.24348116,0.14834177,1.4939736
flanker,2198,congruent,3.006611,3.7377124,0.29312515,0.14515221,1.4133261
flanker,2199,congruent,2.5147333,3.649283,0.3978778,0.30569327,1.4944682
flanker,22,congruent,1.0396447,3.23388,0.26836777,0.100823775,1.3352927
flanker,2200,congruent,2.0440655,2.3667731,0.26552716,0.14852977,1.4026512
flanker,2201,congruent,2.8095264,5.146486,0.24378005,0.09620174,1.2997001
flanker,2202,congruent,3.0150065,3.3873823,0.26825532,0.15004462,1.5417367
flanker,2203,congruent,2.5566306,3.899614,0.2573049,0.13863756,1.3079371
flanker,2204,congruent,2.6075008,3.335735,0.27239758,0.14848496,1.4916795
flanker,2205,congruent,2.8668485,3.9175909,0.41326895,0.14976934,1.4312032
flanker,2206,congruent,2.8130205,4.2443213,0.35134327,0.16810064,1.4734834
flanker,2207,congruent,2.5984044,4.9908023,0.25592184,0.112279266,1.4289258
flanker,2208,congruent,2.9650438,3.5309706,0.28797638,0.15197921,1.3548371
flanker,2209,congruent,3.3899302,3.544179,0.3740378,0.2098823,1.4006085
flanker,2210,congruent,3.1772585,3.1698132,0.28047246,0.15486641,1.5112723
flanker,2211,congruent,3.313398,3.9211535,0.35589606,0.15742621,1.5057358
flanker,2212,congruent,2.6022952,3.505692,0.25474697,0.14322525,1.466926
flanker,2213,congruent,3.9791389,5.0000515,0.41561997,0.15362027,1.4812515
flanker,2214,congruent,3.1630712,3.667941,0.29504967,0.15106528,1.4676208
flanker,2215,congruent,2.9946651,3.1477993,0.26107997,0.15452191,1.5660467
flanker,2216,congruent,3.1744778,2.8002455,0.4731185,0.26790828,1.4375149
flanker,2217,congruent,2.7139072,2.5430927,0.24732122,0.14327222,1.5495771
flanker,2218,congruent,2.870074,4.204118,0.25328046,0.12530418,1.4928476
flanker,2219,congruent,2.2534306,3.141057,0.25468624,0.1347219,1.4046773
flanker,2220,congruent,3.0042245,3.4966197,0.3558924,0.1825614,1.5747956
flanker,2221,congruent,2.6047146,3.0038228,0.29638022,0.14100543,1.3690249
flanker,2222,congruent,2.8440998,3.9084582,0.27600554,0.1352174,1.4590138
flanker,2223,congruent,2.3826666,4.122876,0.24903063,0.124829024,1.4236292
flanker,2224,congruent,2.9268472,2.7164445,0.27005297,0.17126006,1.501615
flanker,2225,congruent,2.7597995,2.93873,0.2271303,0.15140128,1.4665449
flanker,2226,congruent,2.811238,4.7668037,0.4980728,0.18053243,1.5370916
flanker,2227,congruent,2.3462682,3.3837483,0.20196101,0.12995219,1.5498796
flanker,2228,congruent,2.811975,3.7621238,0.3195567,0.16553834,1.5282149
flanker,2229,congruent,1.8959987,2.3324082,0.33356553,0.20959231,1.2621225
flanker,2230,congruent,2.8962739,3.6656456,0.30062228,0.15273857,1.3697331
flanker,2231,congruent,2.26398,2.7718756,0.24122159,0.12837923,1.4440722
flanker,2232,congruent,2.6653972,2.844075,0.26092583,0.14638084,1.4440904
flanker,2233,congruent,2.5578465,3.5810213,0.2951316,0.16373625,1.3321652
flanker,2234,congruent,2.2025523,3.4939601,0.2577989,0.1292412,1.2090814
flanker,2235,congruent,2.984493,4.586986,0.26478183,0.121691585,1.4288018
flanker,2236,congruent,2.6157835,3.9308405,0.24425134,0.13387856,1.4068819
flanker,2237,congruent,2.356987,2.8729355,0.27263653,0.15446855,1.5011731
flanker,2238,congruent,3.0152931,3.8525338,0.45554066,0.16491401,1.4133159
flanker,2239,congruent,3.4132247,4.251353,0.5645056,0.20429465,1.4977001
flanker,2240,congruent,2.7036266,4.337922,0.26251978,0.1318191,1.4365569
flanker,2241,congruent,3.1113858,4.106528,0.34389734,0.17348942,1.5022885
flanker,2242,congruent,2.8372395,3.4135203,0.28982955,0.172294,1.4102594
flanker,2243,congruent,2.4449158,3.3915546,0.21612538,0.13200143,1.409617
flanker,2244,congruent,2.821704,4.209134,0.3026591,0.15151803,1.4556122
flanker,2245,congruent,2.852715,3.6005826,0.34822905,0.15524113,1.4279326
flanker,2246,congruent,2.5942523,3.659872,0.335918,0.29020417,1.5286157
flanker,2247,congruent,2.3723736,3.7855349,0.2756861,0.15031612,1.3865893
flanker,2248,congruent,2.9031596,3.8888772,0.42709452,0.17604502,1.3578242
flanker,2249,congruent,2.7706802,4.4240675,0.33087957,0.12742856,1.3955809
flanker,2250,congruent,2.6765683,3.866109,0.25467473,0.14126149,1.3957943
flanker,2251,congruent,3.015452,4.060857,0.28066465,0.15077107,1.531157
flanker,2252,congruent,3.121443,4.6857195,0.26836532,0.12593102,1.4482238
flanker,2253,congruent,3.5762837,4.7722683,0.22852455,0.1323779,1.3773786
flanker,2254,congruent,3.26161,2.8535547,0.2771603,0.16389155,1.5555651
flanker,2255,congruent,2.8075216,3.4449058,0.23621638,0.13010181,1.5161995
flanker,2256,congruent,2.7536955,5.437625,0.3258736,0.11471219,1.5122765
flanker,2257,congruent,2.9688337,2.4067223,0.409485,0.2637231,1.4680247
flanker,2258,congruent,2.3690186,2.95405,0.24844414,0.15966396,1.4311302
flanker,2259,congruent,2.1022596,3.6390896,0.28812647,0.14648303,1.2806538
flanker,2260,congruent,3.3063145,3.7343943,0.3455506,0.17183387,1.510691
flanker,2262,congruent,2.2328117,3.417702,0.26517785,0.18381163,1.4552538
flanker,2263,congruent,2.8630137,4.5304646,0.24547926,0.123444885,1.4039403
flanker,2264,congruent,2.5752785,2.8135815,0.27394584,0.16488999,1.423518
flanker,2265,congruent,1.9510181,2.9098725,0.2815078,0.18424559,1.3243965
flanker,2266,congruent,3.0294898,3.0630665,0.25711897,0.15189976,1.4801553
flanker,2267,congruent,3.5414457,3.8819947,0.413821,0.19458081,1.5200819
flanker,2268,congruent,2.6654897,3.8741364,0.3093398,0.21354808,1.5449069
flanker,2269,congruent,3.1703143,3.4025521,0.3612147,0.15126632,1.501729
flanker,2270,congruent,2.6957772,2.8339784,0.29527247,0.1514101,1.4808033
flanker,2271,congruent,2.3692074,4.145539,0.33567756,0.1425809,1.3025264
flanker,2272,congruent,3.2621098,4.3561707,0.50208056,0.16620055,1.5073047
flanker,2274,congruent,2.80076,3.878612,0.4085902,0.17043187,1.3636686
flanker,2275,congruent,2.3982055,3.7730408,0.2589963,0.12243093,1.2883749
