sub,a_pi,a_ni,v_pi,v_ni,t,st,alpha
45,1.5226365,1.7860274,4.3705063,6.843005,0.46438673,0.1137703,1.8079891
46,1.7617319,2.8398137,5.0249834,5.0998244,0.4879803,0.19768491,2.0423255
47,2.7300892,2.3190167,3.9119925,3.3387034,0.41644245,0.090164,2.0228443
48,1.9754541,2.2033863,4.29232,4.7687755,0.42620277,0.1606509,1.8639479
49,1.9481032,2.5523224,4.285754,6.015107,0.44808376,0.13171113,1.7838175
5,2.1202092,3.1165624,3.5534823,4.797266,0.48798174,0.22553444,1.9542143
50,2.1153455,2.0676434,4.3744125,3.7491884,0.4518488,0.06512265,2.0033784
51,1.7492918,2.4546955,3.6888256,4.5914497,0.33809602,0.05103095,1.9638723
52,1.6210277,2.8318548,5.719701,6.413679,0.53145236,0.17141254,2.0815213
53,1.6211457,2.2716007,4.6161656,6.5063214,0.46890974,0.08862974,1.9393401
54,1.6405066,2.4667835,4.936047,7.616352,0.5258201,0.10744944,1.9186707
55,2.2280002,2.2339287,3.6581004,4.3904676,0.43825758,0.080102265,1.9521565
56,1.804101,2.4329624,5.495818,5.9119825,0.4680913,0.14659423,1.9882609
57,2.0936053,2.355742,3.8553784,4.335353,0.45382404,0.106013946,1.9791325
58,1.6235676,2.257997,4.583631,5.18972,0.49442357,0.07846202,2.0036821
59,1.4001429,1.6632128,6.35826,7.843535,0.4387733,0.051716655,1.968586
6,2.1075048,2.2884645,4.132004,5.860623,0.40981385,0.065733925,2.0047383
60,1.8898778,2.525732,4.0788136,3.1457982,0.4155166,0.10167899,1.9482088
61,2.055051,2.4042935,3.856429,4.4908843,0.3769697,0.103717804,1.9789658
62,1.9743159,2.1123257,4.875616,5.777226,0.4059863,0.110873625,1.8705659
63,1.7471431,2.7641993,3.7804794,4.769637,0.47955775,0.12464682,1.9548185
64,1.6962807,2.1457872,5.7154036,5.8328695,0.4248438,0.07239315,1.9788696
65,2.8217497,4.341022,4.842075,5.0860033,0.31517988,0.33913523,1.8984592
66,1.7212868,1.7758783,4.894862,5.2163925,0.41883945,0.05795732,1.9776248
67,2.9099233,2.7245853,3.3425121,2.4395313,0.4284562,0.102611974,1.9856086
68,1.5694053,1.9135528,4.965555,5.880439,0.40841198,0.07435517,1.8991843
69,1.9560083,2.6782403,3.9149897,4.632651,0.61911273,0.10951061,2.0402083
7,2.491939,2.221613,3.9398932,3.333508,0.3854561,0.10244311,1.9948026
70,2.4426405,2.414074,1.7101388,3.3554597,0.50816685,0.08127103,1.9286582
71,1.3154477,2.8165665,6.713824,7.042813,0.5030013,0.16669226,2.0632365
72,2.037084,2.1806903,4.1886053,4.538093,0.46097064,0.090076946,1.9542098
73,2.1448445,1.6051433,4.75938,5.1214924,0.4892978,0.084340826,1.9197541
74,1.5708447,2.147222,5.6469016,10.902941,0.44647956,0.05944188,2.0187588
